linkid  直行	左转	右转
1690264	-1689974		
1690234		1690365	-3219814
-1690181	-3221706		
1690181		1690850	-1690365
1690365	1690850	-1690181	
-1690365	-3219814		1690264
3219814	1690365	1690264	
-3219814	-1690223		
1694023	1692272		
1692272	3221552	3221554	
1692313	2226074	1692209	
1692209	2225261		
2226074	2225248	2225292	3221652
3221565	2225261		
2225261	3219215		2226026
3219646	3221644		
-1692290			3219640
3221550	3219640		1692290
1692290	-3221705	-3221704	3221702
3219640	3221553		
2226101	1692284		
1692284	3221550	3221555	
-1692900	-3221595	1692978	
3221594	1692978	1692900	
3221595	1692900		
1692900	3221559	3219208	
-3221595	-3221713		
1692978	3221556		
3221557	3219208	-1692900	
-3221559	-1692900		
3221559	3221599		
3219208	3221598		
3219211	1694023		3221650
3221599	3221627	-3221629	-3221628
-3221599	-3221559		3221600
1962244	-3221642	3221577	-1962758
1962758	3221577		-3221642
-1962758			
1962939	1962820		
1962956	1962820		
1963613	1962844		1962956
1963631	1962939		-3221678
1963724	2209970		
2209983	2211057		3218916
1963702	2209970		
2208575	1963613		
2210069	1963613		
-2208540			1963631
2208562	1963631		2208540
2208540			
2209970	3220219	3220221	3221665
-1965762			
1965762	3221668		3221670
-1965926			
1965926	1965932		1966299
-1966299		-1965926	1965932
-1965932	-1965926	1966299	
1966299	2215081		2215075
1965932	3221576		
2209977	2208562	2208575	
-2208391			
2208391		-1684538	2209307
-2209307	-1684538	-2208391	
2209307	2209936	2209911	-2209901
2209911	2212327		-3221662
-2209911	-2209901	2209936	-2209307
-2209936	-2209307	-2209901	2209911
2209901	2209911	-2209307	2209936
2209936	3221587		
-2209901	-2211111	2211529	
-2211529		-2211111	2209901
2211111	2209901		2211529
2211529	2211780		-2211897
-2211111	-2210784	2211570	
3220220	2209977		2210030
2211057	3220273		3220274
3218916	3220236		3220235
2210775	2210766		
-2210766	-2210775		-3214057
2210766	2210784	-3221672	-2210790
-2210775	2210093		
3220219	2210187	2210144	
2210173	3221666		3221667
2210126	2210163	2210187	
2210187	3220217		
2210144	2210107	2210087	
2210163	-2210809		
-2210809	-3221669	-3221671	-3221668
3221576	3221669		
2210809	2210173		
-3221576	-1965932		
3220650	2210069		
2211086	2210069		
2210107	2210775		
3221575	2210775		
2210093	2210126		2210087
3220216	2210087	2210126	
2210087	3220220		
2210790	-3221672	-2210766	2210784
-2210784	-2210766	-2210790	-3221672
-2210790			2210202
2210784	2211111		2211570
-2211570		-2210784	2211111
2211570	-3221685		2211646
2211002	3221663		-3221664
2210202	3220216	3220218	3221575
-2215103			2215773
3220385	2215773		2215103
2215773	3220276		3220275
2215103	-3221768	2215113	
3220292	2211002		
3221574	2211002		
2211810		3221664	-2211646
2211646	3221664	-2211810	
-2211646		-2211570	-3221685
-2211810			2211832
3220293	2211086		
2217155	2211086		
-2213323	-3221587	-2211780	
3221587	2213323		-2211780
2211780		-3221587	2213323
2213323	2213451	2213394	
-3221587	-2209936		
-2211780	-2211529	-2211897	
2211897		-2211529	2211780
-2211897			2211912
3218921	2211832		2211810
2211832	3221574		
3220244	2211912		2211897
2211912	3218921		
2217125	3221432		
2216703	3221432		
3221432	2214100		
2214226	3221674		3221675
3221568	-2212424	-3221674	-3221659
-3221568	-2213262		
-2214226	-2213394	3221677	-3221676
-2213451	-2213323		2213394
-2213394		2213451	-2213323
2213451	3221589		
2213394	2214226	-3221676	3221677
3221546	2213445	2214166	-3221677
2213445	2214094		
2214166	3218926		
2214094	2213499	2214130	
-2213505	-3221588	2213492	
2213499	2213492	2213505	-3221588
3221588	2213505		
2213505	2214210	2214154	
-3221588	-3221589		
2213492	2213548		
2214284	3218926		
3218926	3218927		3218924
2213519	2213548		
2213548	3219648		
2214130	2214192		
-2214210	-2213505		2214154
2213542	2214154	-2213505	2214210
2214210	3221571		
2214154	2214192		
3221570	2213542	2213519	
2220105	2213584		
2213584	3221570		
2214100	3221541		2214179
2214179	3219219		
3221541	2214274		3221540
2214192	2214374		2214217
2214374	3221687		-3221688
-2221588	-3221571		-3214227
3221571	2221588	-3214227	
2221588	2221610		-2221638
-3221571	-2214210		
3219215	3221538		
2226026	2225967		
-2214353			2226968
3221545	2226968		2214353
2226968	3221543		2227328
2214353		-3221696	3221695
2222129	-3221695		
-2222129		2221648	-2221610
-2222099	2215011		
-2215011	2222099		
