LinkID	BA	Anode	Bnode	Length
2211529	SW	6361	6387	0.437511
3220220		10778	6363	0.091063
2211057		6364	10814	0.19567
3218916		6364	10788	0.306687
2210775	SE	6370	6365	0.038104
2210766	S	6365	6376	0.040896
3220219		10777	6366	0.005019
2210173		6373	18	0.020502
2210126		6371	6366	0.041665
2210187		6366	10776	0.004832
2210144		6366	6371	0.043361
2210163		6366	6373	0.032854
3221576	SE	11724	20	0.044572
2210809	SE	6367	6373	0.03532
3220650		11027	6368	0.240725
2211086		6384	6368	0.400219
2210107		6371	6370	0.020241
3221575		10775	6370	0.029582
2210093		6370	6371	0.030905
3220216		10775	6371	0.015132
2210087		6371	10778	0.005507
2210790	SE	6378	6376	0.143962
2210784	S	6376	6377	0.164834
2211570	SW	6377	6385	0.172351
2211002		6381	17	0.124369
2210202		6378	10775	0.076296
3220385		10878	6379	0.038042
2215773		6379	10816	0.017205
2215103	NW	6379	6421	0.170568
3220292		10827	6381	0.226909
3221574		11723	6381	0.204069
2211810	E	6388	6382	0.26092
2211646	NW	6385	6382	0.108847
3220293		10827	6384	0.206305
2217155		10825	6384	0.588166
3221587	SW	11734	6386	0.068438
2211780	S	6387	6386	0.285098
2213323	SW	6386	6396	0.13182
2211897	E	6391	6387	0.119262
3218921		10039	6388	0.085304
2211832		6388	11723	0.00835
3220244		10794	6391	0.09956
2211912		6391	10039	0.081983
2217125		10789	6393	0.312437
2216703		10823	6393	0.216676
3221432		6393	11625	0.124048
2214226	S	6397	24	0.192768
3221568	N	11717	13	0.314305
2213451	SW	6396	11736	0.012269
2213394	SE	6396	6397	0.403598
3221546		11701	26	0.120729
2213445		26	6399	0.028747
2214166		26	6401	0.099516
2214094		6399	6403	0.240581
2213499		6403	6400	0.040317
3221588	SW	11735	6400	0.015131
2213505	SW	6400	6404	0.025426
2213492		6400	6402	0.013895
2214284		11690	6401	0.297066
3218926		6401	10041	0.318276
2213519		6405	6402	0.040873
2213548		6402	10508	0.055622
2214130		6403	6409	0.06122
2213542		6405	6404	0.036663
2214210	SW	6404	11720	0.035585
2214154		6404	6409	0.026266
3221570		11719	6405	0.032542
2220105		10038	6407	0.052838
2213584		6407	11719	0.141116
2214100		11625	6408	0.232716
2214179		6408	10212	0.169147
3221541		6408	11694	0.813959
2214192		6409	6411	0.190879
2214374		6411	35	0.053991
3221571	SW	11720	6412	0.140977
2221588	SW	6412	6475	0.246572
3219215		6414	10209	0.519358
2226026		6414	6507	0.140617
3221545		11700	6416	0.06172
2226968		6416	6506	0.231651
2214353	W	6416	43	0.070466
2222129	SE	6476	6417	0.338141
2215011	E	6418	6510	0.3387
2222099	NW	6418	6477	0.442956
2215081	S	6419	88	0.047657
2215075	W	6419	6420	0.068282
2215113	SW	6421	6422	0.07486
3220249		10797	6422	0.076017
2215119		6422	94	0.031045
2215894		6430	6438	0.291848
3220243		10793	6432	0.239456
3220240		10791	6432	0.124263
3221443		6432	11637	0.276218
2215745		6433	6434	0.047385
2215866		6434	6436	0.219162
2215884	SE	6437	6436	0.105546
3220282		6436	10820	0.030595
2216684		6438	10785	0.292016
3220284		6438	10822	0.367316
2216562		10782	6442	0.144054
2216716		6442	6447	0.101582
2216635		10815	6444	0.353008
3220649		11026	6444	0.215688
2217378		6444	6455	0.169862
2216658		11630	6446	0.174039
2217271		6446	11722	0.073649
2217178	W	6446	6449	0.177919
3220287		6447	11721	0.093011
2220860		6472	6448	0.156379
3220238		6448	10790	0.202932
3220290		6448	10825	0.194422
2217303	S	6452	6451	0.117064
3220280		10819	6451	0.169486
2217316		6451	10773	0.035206
2221464	E	6474	6473	0.107732
2221638	SE	6473	6475	0.117119
2221610	SW	6475	6476	0.015512
2221648	SW	6476	6477	0.092243
2222259	SW	6477	6478	0.109314
2222411	SW	6478	6479	0.222882
2225179	SW	6497	11715	0.100649
2225292		6498	6501	0.046968
2225248		6498	6499	0.004797
3221566	SW	11715	10	0.085055
2225313	SW	6499	6502	0.039506
2225255		6499	6500	0.005097
2225985		6508	6500	0.04969
2225979		6500	10583	0.1208
2226013		6502	6501	0.005337
3219214		6501	10208	0.210063
2226007		6508	6502	0.008871
2228275	SW	6502	11	0.007585
2225967		6507	6503	0.070335
2225934		6503	11685	0.108582
3221549		11703	6504	0.139452
2214274		11694	6504	0.335329
3219639		6504	10502	1.401038
2225944		11703	47	0.14056
3219642		47	10504	0.033375
2227328	SW	6506	46	0.066582
3221543		6506	11697	0.082987
3219806		10583	6507	0.131486
2226020		10504	6508	0.05689
2228153	SW	6510	6511	0.326078
2233832	SW	6511	6521	0.308645
3221585	SW	11732	6512	0.211713
2229041	SW	6512	6513	0.33359
2229529	W	6514	6516	0.36156
3218919		10828	10038	0.324052
3220289		10824	10038	0.282712
3218924		10041	10040	0.383618
3220234		10040	10787	0.41465
3218925		10040	10786	0.445448
3218927		10041	10792	0.178429
3219210		29	10206	0.111121
3219207		10502	32	0.200586
3221561		11711	33	0.183414
3219637		10206	10501	0.342434
3219212		10206	10207	0.265071
3221601		11746	10207	0.050952
3221540		11694	10208	0.712152
3221538		10209	11690	0.34221
3219219		10212	40	0.072253
3221556		11708	10500	0.028206
3221596		11743	10500	0.04873
3219638		10500	10501	0.245317
3219636		10500	6	0.075657
3219645		10501	10506	0.216614
3219641		10503	10502	0.20653
3221553		11707	10503	0.217164
1693074		10503	11709	0.286107
1692996		10506	11714	0.126548
3219647		10506	10507	0.21035
3221551		11705	10507	0.113439
3219648		10508	10794	0.256145
3220241		10792	10511	0.537702
3219651		10511	10513	0.164476
3220390		10796	10513	0.216118
3219654		10513	10793	0.056978
3220102	SE	10719	11756	0.184084
3220294		10774	10828	0.15035
3220218		10775	10776	0.064586
3220217		10776	10878	0.186851
3220221		10777	10778	0.05439
3221440		10822	10782	0.155333
3220230		10785	10787	0.485587
3220232		10785	10786	0.361927
3220231		10786	11027	0.073665
3220233		10787	11026	0.093686
3220236		10788	11626	0.376845
3220235		10788	10791	0.29583
3220237		10790	10789	0.294268
3221433		11626	10789	0.251143
3220239		10790	10791	0.861732
3220388		10792	10795	0.26053
3220246		10794	10795	0.188394
3220389		10795	10796	0.221706
3220248		10796	11627	0.158357
3221434		11627	10797	0.144187
3220651		11028	10797	0.133394
3220273		10814	10815	0.671558
3220274		10814	10879	0.134167
3220279		10818	10815	0.199933
3220276		10816	10817	0.138149
3220275		10816	11028	0.056568
3220386		10879	10817	0.104952
3220277		10817	11029	0.091082
3220652		11029	10818	0.142377
3220281		10818	10819	0.229295
3221573		11722	10819	0.065286
3221437		10820	11630	0.132119
3220283		10820	10821	0.200723
3220285		10822	10821	0.123407
3220286		10821	10824	0.208793
3220288		10824	10823	0.213776
3221572		11721	10823	0.054596
3220291		10825	10881	0.248362
3220394		10881	10827	0.138079
3220296		10828	10881	0.177108
3220438		10905	10906	0.01345
3221577	SE	4987	3822	0.147831
3221610		3822	10908	0.015083
3220446		10910	10912	0.078512
3220653		11028	11029	0.180727
3221526	W	11682	11677	0.044132
3221528		11678	11677	0.019052
3221527		11677	11681	0.019153
3221544		11700	11678	0.102907
3221529		11678	11679	0.05198
3221531		11682	11679	0.015095
3221537		11679	11691	0.256088
3221534		11685	11680	0.164108
3221532		11680	11682	0.015641
3221530		11680	11681	0.055213
3221542		11681	11716	0.105237
2213262	E	11682	11717	0.039532
3221533		11685	11686	0.355798
3221535		11686	11691	0.117583
3221536		11686	11690	0.154016
3221539		11691	11701	0.087589
3221567		11716	11697	0.124982
3221548		11697	11703	0.155071
3221569		11718	11700	0.084273
3221555		11704	11705	0.079042
3221552		11706	11705	0.045106
3221554		11706	11707	0.092809
3221558		11709	11708	0.039324
3221562		11710	11711	0.062361
3221560		11710	11742	0.022822
3221598		11744	11711	0.007114
3221578	SW	11775	11740	0.149579
3221589	SW	11736	11735	0.05065
3221593	E	11741	11740	0.128707
1580375	NE	3822	11741	0.381127
3221597		11742	11743	0.00785
3221600		11745	11744	0.009837
3221611	SW	11755	4033	0.012355
3221612	SE	11756	4033	0.018623
3221613		11755	11756	0.015341
3221614	SW	11757	4100	0.142237
3221615	SE	11758	4051	0.776095
3221616		11757	11758	0.015677
3221617	NW	11759	4104	0.031196
3221618	SE	11760	4104	0.007448
3221619	SW	11761	4104	0.012064
3221620	SE	11762	11761	0.033692
3221621	E	11763	11764	0.357085
3221622	SW	11764	11766	0.002831
3221623	NW	11765	11767	0.083863
3221624	SW	11766	59	0.329565
3221625	NW	11767	11764	0.007766
3221626		11766	11767	0.009058
3221627	SW	11768	11771	0.189648
3221628	SE	11769	11768	0.087864
3221629	N	11770	11768	0.06429
3221630		11709	11745	0.009765
3221631	SW	11771	4146	0.247391
3221632	NW	11772	11771	0.013331
3221633	S	11773	11771	0.064411
3221634	SW	11774	4081	0.025729
3221635		11774	11727	0.02369
3221637	NW	11776	11775	0.059847
3221638	SE	11777	11775	0.070707
3221639	N	11778	11740	0.022143
3221640	NW	11779	3815	0.059582
3221641	SE	11780	3815	0.007177
3221642	E	11781	4987	0.124863
3221643	SE	11763	57	0.265217
3221644		2	4138	0.056047
3221645		3	4138	0.134108
3221646		2	4	0.139344
3221647		5	11746	0.052647
3221648		6	11746	0.028141
3221649		6	7	0.051605
3221650		4143	8	0.04731
3221651		9	4133	0.049185
3221652		6498	10	0.017498
3221653	SW	10	6499	0.005765
3221654		10	6500	0.013788
3221655	SW	11	11732	0.221116
3221656		11	6501	0.019165
3221657		6508	11	0.022285
3221658		11735	6402	0.01548
